Frequency (MHz),Ground Data (Watts),Sky Data (Watts),Source Data (Watts),Original Receiver Temperature (Tr) (K),Corrected Receiver Temperature (Tr) (K),Source Temperature (Ts) (K),Brightness Temperature (K)
1420.062001,1.6255487557504835e-07,6.011737374832779e-08,6.412095765851622e-08,168.12629593169817,168.12629593169817,11.52953979201311,2.422737577098726
1420.06590725,1.6405897731995388e-07,6.123503917247734e-08,6.516283940608428e-08,170.68220865040016,170.68220865040016,11.268787111150772,2.161984896236387
1420.0698135,1.6368165214278085e-07,6.039486293763807e-08,6.441692655151775e-08,167.49528912373358,167.49528912373358,11.487517186132322,2.3807149712179374
1420.07371975,1.6443717232149307e-07,6.095368972401694e-08,6.516283940608428e-08,168.76046898738159,168.76046898738159,11.999008199596034,2.892205984681649
1420.077626,1.6255487557504835e-07,6.067363295885046e-08,6.441692655151775e-08,170.68220865039984,170.68220865039984,10.838811752589322,1.7320095376749371
1420.08153225,1.6368165214278085e-07,6.095368972401694e-08,6.501296903430916e-08,170.03840283802407,170.03840283802407,11.656878695351963,2.5500764804375784
1420.0854385,1.6443717232149307e-07,6.095368972401694e-08,6.501296903430916e-08,168.76046898738159,168.76046898738159,11.571773257710362,2.464971042795977
1420.08934475,1.6368165214278085e-07,6.053408747539135e-08,6.397348354826482e-08,168.12629593169817,168.12629593169817,9.836604914225859,0.7298026993114739
1420.093251,1.6330519478943344e-07,6.011737374832779e-08,6.412095765851622e-08,166.8674265705443,166.8674265705443,11.445703975424664,2.3389017605102786
1420.09715725,1.6330519478943344e-07,6.053408747539135e-08,6.426877173170194e-08,168.76046898738133,168.76046898738133,10.720248953288149,1.6134467383737636
1420.1010635,1.6405897731995388e-07,6.081350012787188e-08,6.486344335482375e-08,168.76046898738187,168.76046898738187,11.571773257709566,2.464971042795181
1420.10496975,1.6443717232149307e-07,6.109420249055714e-08,6.501296903430916e-08,169.39783048811898,169.39783048811898,11.186403219281033,2.0796010043666477
