Velocity,Brightness Temperature,Velocity Corrected
-58.53646711849861,41.53351566902279,-37.587802723518685
-59.36092469910417,38.57759003601916,-38.412260304124246
-60.18538227970973,37.919177216894894,-39.236717884729806
-61.00983986038185,36.72307125885371,-40.06117546540193
-61.83429744098741,34.008280966500564,-40.88563304600749
-62.658755021592974,33.19163174818391,-41.71009062661305
-63.4832126022651,31.34732402461753,-42.53454820728518
-64.30767018287065,30.00297011459784,-43.35900578789073
-65.13212776347622,29.224787419033785,-44.1834633684963
-65.95658534414835,27.047035628424364,-45.00792094916843
-66.7810429247539,25.584312197497436,-45.83237852977398
-67.60550050542604,20.949922399244254,-46.656836110446115
-68.42995808603159,21.76101492178523,-47.48129369105167
-69.25441566663716,22.68900397076626,-48.305751271657236
-70.07887324730928,21.4808212673565,-49.13020885232935
-70.90333082791484,19.72722112894112,-49.95466643293492
-71.7277884085204,20.780901796220913,-50.779124013540475
-72.55224598919253,18.583624229179005,-51.603581594212606
-73.37670356979808,18.42035560599572,-52.42803917481816
-74.20116115040365,17.753410944381297,-53.25249675542373
-75.02561873107577,16.551388634892472,-54.076954336095845
-75.85007631168133,15.810869396176908,-54.90141191670141
-76.67453389228689,13.4045542488609,-55.72586949730697
-77.49899147295902,13.81518225206872,-56.5503270779791
-78.32344905356457,12.83415976388343,-57.37478465858465
-79.14790663417014,11.79941414552962,-58.19924223919022
-79.97236421484226,11.495670026078809,-59.02369981986234
-80.79682179544783,11.495670026078837,-59.848157400467905
-81.62127937605338,11.19941052682412,-60.67261498107346
-82.44573695672551,10.594771776308047,-61.49707256174559
-83.27019453733107,5.794321402358204,-62.32153014235114
-84.09465211793663,9.488154389224658,-63.14598772295671
-84.91910969860875,7.905127754307497,-63.97044530362883
-85.74356727921432,8.096498877369608,-64.7949028842344
-86.56802485981987,9.556454637082677,-65.61936046483996
-87.392482440492,7.3996597285328924,-66.44381804551207
-88.21694002109756,8.536715831656661,-67.26827562611763
-89.04139760170312,7.971238682936015,-68.09273320672321
-89.86585518237524,9.085459470673722,-68.91719078739533
-90.69031276298081,6.723924533207221,-69.74164836800088
-91.51477034358636,8.332467944387783,-70.56610594860643
-92.3392279242585,7.294731121547326,-71.39056352927858
-93.16368550486405,7.6028609993906535,-72.21502110988413
-93.98814308546962,6.666225058385404,-73.03947869048969
